Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Kure,5/20/2020 22:47,10300100A6B6FF00,28.4226,26.5972,73.7254,116.0972,45.2103,63.4028,225.2103,344.4249024,20.39447696,18.74098744,8.522849817,35.18820324,5
Kuria,7/27/2017 23:17,103001006C2CD500,0.215,27.5122,63.6832,43.6518,96.2158,62.4878,276.2158,341.1260829,18.91316353,27.37914296,3.057798969,47.8942189,none
Kwajalein,5/10/2019 23:39,10300100910A6100,9.1876,17.1726,71.0311,61.4773,149.6381,72.8274,329.6381,342.5536245,17.71133272,9.389625632,23.83089909,25.78198928,10
Kwajalein,12/22/2019 23:16,10300100A0C50600,9.1876,25.0674,50.1688,145.3213,248.1209,64.9326,68.1209,336.6001696,-23.41385753,335.655786,17.48694667,40.91120686,10
Kwajalein,5/16/2019 23:18,10300100925FE100,9.1876,28.6991,66.2054,62.8027,250.8842,61.3009,70.8842,337.6734112,19.15550067,331.6466317,17.17515765,6.05856989,all
Kwajalein,5/8/2018 23:34,103001007B036800,9.1876,4.3119,70.7363,63.2907,44.4119,85.6881,224.4119,342.022013,17.28416203,3.033231949,6.096154574,23.38370722,all
Kwajalein,3/18/2020 23:14,10300100A499DF00,9.1876,30.6842,62.789,108.7617,337.4481,59.3158,157.4481,334.3435752,-0.182709775,348.0435495,-19.14286929,23.23895159,all
Kwajalein,6/29/2016 23:21,10300100572DB000,9.1876,21.6383,63.7112,53.9598,8.73,68.3617,188.73,336.9943558,23.60253917,3.282642377,-12.20336512,44.07961248,all
Kwajalein,4/11/2018 23:26,103001007A600400,9.1876,12.4251,69.3957,89.9458,266.7166,77.5749,86.7166,339.1497327,8.61433625,347.4136586,9.676969579,8.227477078,all
Kwajalein,5/8/2018 23:34,103001007B2AB300,9.1876,8.9279,70.4112,63.6921,196.9376,81.0721,16.9376,341.65395,17.28404383,357.279571,17.71534065,14.90443677,none
Kwajalein,3/31/2018 23:31,103001007B752F00,9.1876,10.8237,68.7225,101.7355,224.8635,79.1763,44.8635,339.1251207,4.354190398,352.0482119,16.75149697,17.73071189,all
Kwajalein,9/23/2019 23:32,103001009A805F00,9.1876,27.2417,69.9077,116.9506,17.5779,62.7583,197.5779,342.1679965,-0.214817436,8.302154065,-16.78706574,30.61784593,none
Kwajalein,10/26/2015 23:29,103001004A2C6C00,9.1876,11.1713,63.0694,142.9246,114.1112,78.8287,294.1112,343.7670912,-12.37818098,10.4818739,13.57821671,37.0815311,none
Kwajalein,5/8/2018 23:34,103001007DD62600,9.1876,3.0476,70.5564,63.3937,182.364,86.9524,2.364,341.8342297,17.32138934,359.8714331,12.23258134,18.15667111,none
Lae,1/5/2019 23:36,103001008BA30000,8.9374,20.7858,52.4837,147.1788,192.8396,69.2142,12.8396,339.0702529,-22.47832081,354.8194437,29.14652809,53.80668588,all
Lamotrek,5/9/2019 0:53,1030010090D5A200,7.4921,1.7626,68.7629,60.6365,311.3508,88.2374,131.3508,340.6900691,17.31569615,358.6688388,6.325706653,20.71876039,20
Layson,2/27/2020 22:05,10300100A4243700,25.7695,19.5839,49.1168,142.8935,330.4291,70.4161,150.4291,336.4919897,-8.128023023,350.373011,8.456998799,21.59619177,5
Lib,2/17/2020 23:19,10300100A4263400,8.3132,30.6805,57.0473,127.3323,349.9311,59.3195,169.9311,333.774726,-11.83415819,354.4832175,-21.88633419,22.18465597,none
Likiep,4/11/2018 23:27,103001007BBEF300,9.897,26.0962,70.934,92.3495,7.4755,63.9038,187.4755,340.7263752,8.583859047,3.412809498,-15.97957215,33.28471118,20
Likiep,3/18/2016 23:19,10300100520DD000,9.897,11.2306,64.9139,113.0491,101.9851,78.7694,281.9851,337.036457,-0.450438522,11.23250528,12.03020951,36.16796023,all
Likiep,3/18/2016 23:19,10300100523D9000,9.897,13.4635,65.0214,113.026,127.9305,76.5365,307.9305,337.1297916,-0.396208355,11.13002615,17.94738289,38.13623422,all
