atoll,species,population
Pukarua,Anous_minutus,209.0
Pulap,Anous_minutus,1768.0
Pulusuk,Anous_minutus,1475.0
Puluwat,Anous_minutus,0.0
Qelelevu,Anous_minutus,186334.0
Rakahanga,Anous_minutus,332.0
Rangiroa,Anous_minutus,891.0
Raraka,Anous_minutus,2000.0
Raroia,Anous_minutus,502.0
Rasdhoo,Anous_minutus,0.0
Ravahere,Anous_minutus,0.0
Rawaki,Anous_minutus,0.0
Reao,Anous_minutus,220.0
Redlick,Anous_minutus,0.0
Reitoru,Anous_minutus,342.0
Rekareka,Anous_minutus,213.0
Rongelap,Anous_minutus,1764.0
Rongerik,Anous_minutus,1110.0
Rose,Anous_minutus,1232.0
Rowa,Anous_minutus,0.0
Saloman,Anous_minutus,0.0
Sama,Anous_minutus,0.0
Samasuma,Anous_minutus,0.0
Sapwuahfik,Anous_minutus,1036.0
Satawan,Anous_minutus,829.0
Scilly,Anous_minutus,176.0
Sorol,Anous_minutus,600.0
South_Maalhosmadulu,Anous_minutus,0.0
South_Nilandhe,Anous_minutus,0.0
St_Francois,Anous_minutus,0.0
St_Joseph,Anous_minutus,0.0
Starbuck,Anous_minutus,0.0
Suheli_Par,Anous_minutus,0.0
Surprise,Anous_minutus,6200.0
Suwarrow,Anous_minutus,140.0
Swains,Anous_minutus,7092.0
Tabiteuea,Anous_minutus,3395.0
Tabuaeran,Anous_minutus,2000.0
Taenga,Anous_minutus,0.0
Tahanea,Anous_minutus,540.0
Taiaro,Anous_minutus,379.0
Taka,Anous_minutus,1040.0
Takapoto,Anous_minutus,528.0
Takaroa,Anous_minutus,0.0
Takume,Anous_minutus,274.0
Takuu,Anous_minutus,1000.0
Tarawa,Anous_minutus,4525.0
Tatakoto,Anous_minutus,355.0
Tauere,Anous_minutus,279.0
Tekokota,Anous_minutus,11.0
Temitangi,Anous_minutus,0.0
Temoe,Anous_minutus,22.0
Tenararo,Anous_minutus,100.0
Tenaruga,Anous_minutus,0.0
Tepoto,Anous_minutus,0.0
Teraina,Anous_minutus,1510.0
Tetiaroa,Anous_minutus,414.0
Thiladhunmathi,Anous_minutus,0.0
Tikehau,Anous_minutus,823.0
Toau,Anous_minutus,1300.0
