species,atoll,source,Order,Family
"Lamprolepis smaragdina (Lesson, 1829)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Taka,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Utirik,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Anaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Aratika,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Caroline,"Kepler, C.B., Kepler, A.K., & Ellis, D.H. (1994) The natural history of Caroline Atoll - Part II: seabirds, other terrestrial animals, and conservation",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Eniwetok,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Funafuti,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Kapingamarangi,"Buden, D.W. (1998) The reptiles of Kapingamarangi Atoll, Micronesia",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Matureivavao,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Maupihaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Moruroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Nukunonu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Nukutepipi,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Rangiroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Raroia,"Morrison, J.P.E. (1954) Animal ecology of Raroia Atoll, Tuamotus",Squamata,Scincidae
"Ornithuroscincus noctua (Lesson, 1830)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
