species,atoll,status,reference,Order,Family
Ficus prolixa G.Forst.,Lukunor,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus prolixa G.Forst.,Namoluk,N,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Rosales,Moraceae
Ficus prolixa G.Forst.,Niau,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Rosales,Moraceae
Ficus prolixa G.Forst.,Nui,N,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Rosales,Moraceae
Ficus prolixa G.Forst.,Pingelap,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus prolixa G.Forst.,Puluwat,N,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Rosales,Moraceae
Ficus prolixa G.Forst.,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus prolixa G.Forst.,Satawan,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus prolixa G.Forst.,Tabuaeran,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Rosales,Moraceae
Ficus prolixa G.Forst.,Teraina,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Rosales,Moraceae
Ficus prolixa G.Forst.,Tikehau,N,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Rosales,Moraceae
Ficus prolixa G.Forst.,Ulithi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus reflexa Thunb.,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Moraceae
Ficus reflexa Thunb.,Astove,N,"Wickens, G.E. (1979) The propagules of the terrestrial flora of the Aldabra Archipelago, Western Indian Ocean",Rosales,Moraceae
Ficus reflexa Thunb.,Cosmoledo,N,"Renvoize, S.A. (1975) A floristic analysis of the Western Indian Ocean coral islands",Rosales,Moraceae
Ficus religiosa L.,Diego Garcia,I,"Fosberg, F.R., & Bullock, A.A. (1971) List of Diego Garcia vascular plants",Rosales,Moraceae
Ficus religiosa L.,Kavaratti,I,"Sivadas, P., Narayanan, B., & Sviaprasad, K. (1983) An account of the vegetation of Kavaratti Island, Laccadives",Rosales,Moraceae
Ficus rubiginosa Desf.,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus rubiginosa Desf.,Wake,I,"Fosberg, F.R. (1959) Vegetation and flora of Wake atoll",Rosales,Moraceae
Ficus rubra Vahl,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Moraceae
Ficus rubra Vahl,Astove,N,"Wickens, G.E. (1979) The propagules of the terrestrial flora of the Aldabra Archipelago, Western Indian Ocean",Rosales,Moraceae
Ficus rubra Vahl,Cosmoledo,N,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Cosmoledo Atoll",Rosales,Moraceae
Ficus sagittata J.Koenig ex Vahl,Namonuito,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus scabra G.Forst.,Nukumbasanga,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus scabra G.Forst.,Nukusemanu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus scabra G.Forst.,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus thonningii Blume,Cosmoledo,U,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Cosmoledo Atoll",Rosales,Moraceae
Ficus tinctoria G.Forst.,Ant,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Moraceae
Ficus tinctoria G.Forst.,Arno,N,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Atafu,N,"Whistler, A. (2012) The flora and vegetation of Tokelau",Rosales,Moraceae
Ficus tinctoria G.Forst.,Butaritari,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Etal,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Fakaofo,N,"Whistler, A. (2012) The flora and vegetation of Tokelau",Rosales,Moraceae
Ficus tinctoria G.Forst.,Funafuti,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Moraceae
Ficus tinctoria G.Forst.,Jaluit,N,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Rosales,Moraceae
Ficus tinctoria G.Forst.,Kiritimati,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Losap,N,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Rosales,Moraceae
Ficus tinctoria G.Forst.,Lukunor,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Majuro,N,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Mokil,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Moraceae
Ficus tinctoria G.Forst.,Namoluk,N,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Rosales,Moraceae
Ficus tinctoria G.Forst.,Namonuito,N,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Niutao,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Moraceae
Ficus tinctoria G.Forst.,Nomwin,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Nui,N,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Rosales,Moraceae
Ficus tinctoria G.Forst.,Nukulaelae,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Moraceae
Ficus tinctoria G.Forst.,Nukumbasanga,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus tinctoria G.Forst.,Nukunonu,N,"Whistler, A. (2012) The flora and vegetation of Tokelau",Rosales,Moraceae
Ficus tinctoria G.Forst.,Onotoa,N,"Moul, E.T. (1957) Preliminary report on the flora of Onotoa Atoll, Gilbert Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Ontong Java,N,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Pingelap,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Moraceae
Ficus tinctoria G.Forst.,Puluwat,N,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Rosales,Moraceae
Ficus tinctoria G.Forst.,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Moraceae
Ficus tinctoria G.Forst.,Satawan,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Swains,N,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Rosales,Moraceae
Ficus tinctoria G.Forst.,Tabiteuea,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Tabuaeran,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Rosales,Moraceae
Ficus tinctoria G.Forst.,Tarawa,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Tupai,N,"Sachet, M.-H. (1983) Botanique de l'ile de Tupai, Îles de la Societe",Rosales,Moraceae
Ficus tinctoria G.Forst.,Ulithi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Moraceae
Ficus tinctoria G.Forst.,Vaitupu,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Moraceae
Ficus virens W.T.Aiton,Ant,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Moraceae
Ficus sp.,French Frigate Shoals,I,"Amerson, A.B. (1971) The natural history of French Frigate Shoals, Northwestern Hawaiian Islands",Rosales,Moraceae
Ficus sp.,Glorioso,U,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Rosales,Moraceae
Ficus sp.,Raroia,I,"Doty, M.S., et al. (1954) Floristics and plant ecology of Raroia Atoll, Tuamotus",Rosales,Moraceae
Ficus sp.,Sapwuahfik,U,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Rosales,Moraceae
Maillardia montana Leandri,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Moraceae
Colubrina asiatica (L.) Brongn.,Addu,N,"Spicer, R.A., et al. (1979) The terrestrial vegetation of an Indian Ocean coral island - Wilingili, Addu Atoll, Maldive Islands",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Astove,N,"Wickens, G.E. (1979) The propagules of the terrestrial flora of the Aldabra Archipelago, Western Indian Ocean",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Chesterfield,N,"Cohic, F. (1959) Report on a visit to the Chesterfield Islands, September 1957",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Cosmoledo,N,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Cosmoledo Atoll",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Funafuti,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Glorioso,N,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Lukunor,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Majuro,N,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Maupihaa,N,"Sachet, M.-H. (1983) Natural history of Mopelia Atoll, Society Islands",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Niutao,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Nukulaelae,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Raroia,N,"Doty, M.S., et al. (1954) Floristics and plant ecology of Raroia Atoll, Tuamotus",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Satawan,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Surprise,N,"Caut, S., Angulo, E., & Courchamp, F. (2009) Avoiding surprise effects on Surprise Island - alien species control in a multritrophic level perspective",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Tetiaroa,N,"Sachet, M.-H., & Fosberg, F.R. (1983) An ecological reconnaissance of Tetiaroa Atoll, French Polynesia",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Tupai,N,"Sachet, M.-H. (1983) Botanique de l'ile de Tupai, Îles de la Societe",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Ulithi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Rhamnaceae
Colubrina asiatica (L.) Brongn.,Vaitupu,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Rhamnaceae
Gouania laxiflora Tul.,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Rhamnaceae
Gouania laxiflora Tul.,Cosmoledo,N,"Renvoize, S.A. (1975) A floristic analysis of the Western Indian Ocean coral islands",Rosales,Rhamnaceae
Scutia myrtina (Burm.fil.) Kurz,Aldabra,N,"Gibson, C.W.D. & Phillipson, J. (1983) The vegetation of Aldabra atoll - preliminary analysis and explanation of the vegetation map",Rosales,Rhamnaceae
Scutia myrtina (Burm.fil.) Kurz,Astove,N,"Wickens, G.E. (1979) The propagules of the terrestrial flora of the Aldabra Archipelago, Western Indian Ocean",Rosales,Rhamnaceae
Scutia myrtina (Burm.fil.) Kurz,Cosmoledo,N,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Cosmoledo Atoll",Rosales,Rhamnaceae
Smythea lanceata (Tul.) Summerh.,Kapingamarangi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Rhamnaceae
Ziziphus mauritiana Lam.,Kavaratti,I,"Sivadas, P., Narayanan, B., & Sviaprasad, K. (1983) An account of the vegetation of Kavaratti Island, Laccadives",Rosales,Rhamnaceae
Osteomeles anthyllidifolia (Sm.) Lindl.,Kwajalein,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Rosaceae
Rhaphiolepis loquata B.B.Liu & J.Wen,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Rosales,Rosaceae
Rhaphiolepis loquata B.B.Liu & J.Wen,Johnston,I,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Rosales,Rosaceae
Boehmeria nivea (L.) Gaud.,Jaluit,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Dendrocnide harveyi (Seem.) Chew,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Rosales,Urticaceae
Elatostema calcareum Merr.,Ngcheangel,N,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Rosales,Urticaceae
Elatostema calcareum Merr.,Ulithi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea aestuans (L.) Chew,Aldabra,N,"Renvoize, S.A. (1975) A floristic analysis of the Western Indian Ocean coral islands",Rosales,Urticaceae
Laportea aestuans (L.) Chew,South Keeling,N,"Williams, D.G. (1994) Vegetation and flora of the Cocos (Keeling) Islands",Rosales,Urticaceae
Laportea aestuans (L.) Chew,Farquhar,N,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Farquhar Atoll",Rosales,Urticaceae
Laportea interrupta (L.) Chew,Addu,N,"Spicer, R.A., et al. (1979) The terrestrial vegetation of an Indian Ocean coral island - Wilingili, Addu Atoll, Maldive Islands",Rosales,Urticaceae
Laportea interrupta (L.) Chew,Jaluit,N,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Rosales,Urticaceae
Laportea interrupta (L.) Chew,Manihiki,N,"Cranwell, L.M. (1933) Flora of Manihiki, Cook Group",Rosales,Urticaceae
Laportea interrupta (L.) Chew,Nui,I,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Rosales,Urticaceae
Laportea interrupta (L.) Chew,Tongareva,I,"Linton, A.M. (1933) Notes on the vegetation on Penrhyn and Manihiki islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Ailinginae,N,"Releford, J.S., et al. (2009) Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Ailuk,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Anaa,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Ant,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Aratika,N,"Jacq F. & Lagouy E., (2010) Carte de la végétation de l’atoll de Aratika, commune de Fakarava, Archipel des Tuamotu",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Arno,N,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Bikini,N,"Fosberg, F.R. (1988) Vegetation of Bikini Atoll, 1985",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Butaritari,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Caroline,N,"Clapp, R.B., & Sibley, F.C. (1971) Notes on the vascular flora and terrestrial vertebrates of Caroline Atoll, Northern Line Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Enderbury,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Eniwetok,N,"St. John, H. (1960) Flora of Eniwetok Atoll",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Etal,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Fakaofo,N,"Whistler, A. (2012) The flora and vegetation of Tokelau",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Funafuti,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Jaluit,N,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Kapingamarangi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Kwajalein,N,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Lae,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Likiep,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Losap,N,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Lukunor,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Majuro,N,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Maria,N,"Meyer, J.-Y. (2013) Rapport de mission sur l'atoll de Maria - inventaire floristique, observations ornithologiques et recommandations de gestion et de conservation",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Maupihaa,N,"Sachet, M.-H. (1983) Natural history of Mopelia Atoll, Society Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Mokil,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Morane,N,"Meyer, J.-Y.H., & Poncet, R. (2022) La végétation, la flore et les lichens de l'atoll de Morane (Tuamotu-Gambier), un écosystème insulaire encore intact",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Murilo,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Namoluk,N,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Namonuito,N,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Ngcheangel,N,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Niau,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Nikumaroro,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Niutao,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Nomwin,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Nukulaelae,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Nukunonu,N,"Parham, P.E.V. (1971) The vegetation of the Tokelau Islands with special reference to the plants of Nukunonu Atoll",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Nukutepipi,N,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Onotoa,N,"Moul, E.T. (1957) Preliminary report on the flora of Onotoa Atoll, Gilbert Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Ontong Java,N,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Orona,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Palmyra,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Pingelap,N,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Puluwat,N,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Rangiroa,N,"Stoddart, D.R., & Sachet, M.-H. (1969) Reconnaissane geomorphology of Rangiroa Atoll, Tuamotu Archipelago with list of vascular flora of Rangiroa",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Raroia,N,"Doty, M.S., et al. (1954) Floristics and plant ecology of Raroia Atoll, Tuamotus",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Reitoru,N,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Rongelap,N,"Releford, J.S., et al. (2009) Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Satawan,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Scilly,N,"Sachet, M.-H. (1983) Végétation et flore terrestre de l'atoll de Scilly (Fenua Ura)",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Suwarrow,N,"Woodroffe, C.D., & Stoddart, D.R. (1992) Substrate specificity and episodic catastrophe: constraints on the insular plant geography of Suwarrow Atoll, Northern Cook Islands",Rosales,Urticaceae
Laportea ruderalis (G.Forst.) Chew,Swains,N,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Rosales,Urticaceae
